Transaction Code,Transaction Description,Transaction Category,Posting date of transaction,Transaction Date,Merchant Info DBA Name,Transaction Amount,Debit or Credit,Merchant Category Code,Merchant City,Merchant Country,Merchant Postal Code,Merchant State/Province,Conversion Rate
3001,FLYING J 663 WADDY KY,1,2025-09-04,2025-09-02,FLYING J 663,790.43,Debit,5541.0,WADDY,USA,40076,KY,1.381791141
3001,IDOT ITAP OS OW SPRINGFILED IL,1,2025-09-04,2025-09-03,IDOT ITAP OS OW,119.48,Debit,9399.0,SPRINGFILED,USA,62764,IL,1.381816027
3001,L OCA GIFTCARD VANCOUVER BC,1,2025-09-04,2025-09-02,L OCA GIFTCARD,75.0,Debit,5947.0,VANCOUVER,CAN,V6B2M1,BC,0.0
3001,Amazon.ca*BF6C21X53 866-216-1072 ON,1,2025-09-04,2025-09-04,Amazon.ca*BF6C21X53,10.99,Debit,4816.0,866-216-1072,CAN,M5J 2T3,ON,0.0
3001,PILOT 4619 WYTHEVILLE VA,1,2025-09-04,2025-09-02,PILOT 4619,71.29,Debit,5541.0,WYTHEVILLE,USA,24382,VA,1.376410053
3001,MNDOT OSOW PERMITS SAINT PAUL MN,1,2025-09-04,2025-09-03,MNDOT OSOW PERMITS,164.93,Debit,9399.0,SAINT PAUL,USA,551551800,MN,1.381794762
3001,MCSD OSOW - CONV. FEE NASHVILLE TN,1,2025-09-04,2025-09-02,MCSD OSOW - CONV. FEE,3.82,Debit,9399.0,NASHVILLE,USA,37215,TN,1.381481481
3001,IOWA 80 TRUCKSTOP WALCOTT IA,1,2025-09-04,2025-09-03,IOWA 80 TRUCKSTOP,189.37,Debit,5541.0,WALCOTT,USA,52773,IA,1.381101891
3001,MCSD OSOW INDIANAPOLIS IN,1,2025-09-04,2025-09-03,MCSD OSOW,205.93,Debit,9399.0,INDIANAPOLIS,USA,46241,IN,1.381774415
3001,BC PERMIT CENTRE VICTORIA BC,1,2025-09-04,2025-09-02,BC PERMIT CENTRE,30.0,Debit,9399.0,VICTORIA,CAN,V8W9T5,BC,0.0
3001,MNA*MICHELIN CANADA 877-724-2835 QC,1,2025-09-04,2025-09-03,MNA*MICHELIN CANADA,51182.84,Debit,5532.0,877-724-2835,CAN,H7T 2P6,QC,0.0
3001,SP KENT AUTOMOTIVE PRO CHICAGO IL,1,2025-09-04,2025-09-03,SP KENT AUTOMOTIVE PRO,90.41,Debit,5533.0,CHICAGO,USA,60631,IL,0.0
3001,MNDOT OSOW PERMITS FEE ATLANTA GA,1,2025-09-04,2025-09-03,MNDOT OSOW PERMITS FEE,3.54,Debit,9399.0,ATLANTA,USA,303285588,GA,1.38
3001,Campbell Park Carwash ST. ALBERT AB,1,2025-09-04,2025-09-02,Campbell Park Carwash,22.0,Debit,7542.0,ST. ALBERT,CAN,T8N6P6,AB,0.0
3001,IA DOT MOTOR CARRIER S ANKENY IA,1,2025-09-04,2025-09-03,IA DOT MOTOR CARRIER S,51.7,Debit,9399.0,ANKENY,USA,50021,IA,1.381917808
3001,PZG**MT DEPT TRANSPORT HELENA MT,1,2025-09-04,2025-09-03,PZG**MT DEPT TRANSPORT,247.34,Debit,9399.0,HELENA,USA,59601,MT,1.381124084
3001,VCN*IDAHODOT BOISE ID,1,2025-09-04,2025-09-03,VCN*IDAHODOT,115.36,Debit,9399.0,BOISE,USA,83703,ID,1.381829343
3001,NORTHDALE OIL SWEET CR GRASSY BUTTE ND,1,2025-09-04,2025-09-03,NORTHDALE OIL SWEET CR,708.23,Debit,5541.0,GRASSY BUTTE,USA,58634,ND,1.381809455
3001,BANNOCK PEAK POCATELLO ID,1,2025-09-04,2025-09-03,BANNOCK PEAK,849.38,Debit,5541.0,POCATELLO,USA,83204,ID,1.3811
3001,SD DEPT OF TRANS OPS PIERRE SD,1,2025-09-05,2025-09-04,SD DEPT OF TRANS OPS,106.92,Debit,9399.0,PIERRE,USA,57501,SD,1.381040646
3001,SD DEPT OF TRANS OPS PIERRE SD,1,2025-09-05,2025-09-04,SD DEPT OF TRANS OPS,35.49,Debit,9399.0,PIERRE,USA,57501,SD,1.3848
3001,LOVE'S #0337 INSIDE ALBERT LEA MN,1,2025-09-05,2025-09-04,LOVE'S #0337 INSIDE,899.38,Debit,5541.0,ALBERT LEA,USA,56007,MN,1.381099289
3001,DTOPS SINGLE CROSSING INDIANAPOLIS IN,1,2025-09-05,2025-09-04,DTOPS SINGLE CROSSING,27.75,Debit,9399.0,INDIANAPOLIS,USA,46278,IN,1.381122449
3001,AB TRANSP 403-340-5075 EDMONTON AB,1,2025-09-05,2025-09-03,AB TRANSP 403-340-5075,267.0,Debit,9399.0,EDMONTON,CAN,T5K2C3,AB,0.0
3001,AB TRANSP 403-340-5075 EDMONTON AB,1,2025-09-05,2025-09-03,AB TRANSP 403-340-5075,18.75,Debit,9399.0,EDMONTON,CAN,T5K2C3,AB,0.0
3001,LOVE'S #0337 INSIDE ALBERT LEA MN,1,2025-09-05,2025-09-04,LOVE'S #0337 INSIDE,69.35,Debit,5541.0,ALBERT LEA,USA,56007,MN,1.381098183
3001,SKEANS PNEUMATIC AND A CALGARY AB,1,2025-09-05,2025-09-04,SKEANS PNEUMATIC AND A,311.05,Debit,5085.0,CALGARY,CAN,T2C4R1,AB,0.0
3001,PZG**MT DEPT TRANSPORT HELENA MT,1,2025-09-05,2025-09-04,PZG**MT DEPT TRANSPORT,428.13,Debit,9399.0,HELENA,USA,59601,MT,1.384913793
3001,Amazon.ca*6M0UO1Q23 866-216-1072 ON,1,2025-09-05,2025-09-05,Amazon.ca*6M0UO1Q23,10.49,Debit,4816.0,866-216-1072,CAN,M5J 2T3,ON,0.0
3001,MI SUPERLOAD WINNIPEG MB,1,2025-09-05,2025-09-04,MI SUPERLOAD,787.75,Debit,8220.0,WINNIPEG,CAN,R3H0C4,MB,0.0
3001,MCSD OSOW - CONV. FEE NASHVILLE TN,1,2025-09-05,2025-09-03,MCSD OSOW - CONV. FEE,6.83,Debit,9399.0,NASHVILLE,USA,37215,TN,1.381742739
3001,DTOPS SINGLE CROSSING INDIANAPOLIS IN,1,2025-09-05,2025-09-04,DTOPS SINGLE CROSSING,27.75,Debit,9399.0,INDIANAPOLIS,USA,46278,IN,1.381122449
3001,LOVE'S #0789 INSIDE GREAT FALLS MT,1,2025-09-05,2025-09-04,LOVE'S #0789 INSIDE,620.91,Debit,5541.0,GREAT FALLS,USA,59404,MT,1.384902037
404,CASH INTEREST CHARGE,2,2025-09-05,2025-09-05,CASH INTEREST CHARGE,0.05,Debit,,,,,,0.0
3001,TELUS MOBILITY PREAUTH EDMONTON AB,1,2025-09-05,2025-09-04,TELUS MOBILITY PREAUTH,269.33,Debit,4812.0,EDMONTON,CAN,T5J 0N5,AB,0.0
3001,WESTERN DAKOTA ENERGY BISMARCK ND,1,2025-09-08,2025-09-05,WESTERN DAKOTA ENERGY,38.03,Debit,4784.0,BISMARCK,USA,58504,ND,1.384845091
3001,NDHP-E PERMIT 701-328-2426 ND,1,2025-09-08,2025-09-06,NDHP-E PERMIT,39.64,Debit,9399.0,701-328-2426,USA,58505,ND,1.381071429
3001,NDHP-E PERMIT 701-328-2426 ND,1,2025-09-08,2025-09-06,NDHP-E PERMIT,39.64,Debit,9399.0,701-328-2426,USA,58505,ND,1.381071429
3001,MI SUPERLOAD WINNIPEG MB,1,2025-09-08,2025-09-05,MI SUPERLOAD,296.21,Debit,8220.0,WINNIPEG,CAN,R3H0C4,MB,0.0
3001,BC PERMIT CENTRE VICTORIA BC,1,2025-09-08,2025-09-04,BC PERMIT CENTRE,209.0,Debit,9399.0,VICTORIA,CAN,V8W9T5,BC,0.0
3001,Amazon.ca*RY6489EM3 866-216-1072 ON,1,2025-09-08,2025-09-08,Amazon.ca*RY6489EM3,11.1,Debit,4816.0,866-216-1072,CAN,M5J 2T3,ON,0.0
3001,EXXON ROCKER 3 #1357 BUTTE MT,1,2025-09-08,2025-09-07,EXXON ROCKER 3 #1357,69.48,Debit,5541.0,BUTTE,USA,59701,MT,1.384316929
3001,PRINCESS AUTO 31 CALGARY AB,1,2025-09-08,2025-09-07,PRINCESS AUTO 31,120.72,Debit,5085.0,CALGARY,CAN,T2Z 0H3,AB,0.0
3001,TXDMV OS PERMIT TPE AUSTIN TX,1,2025-09-08,2025-09-05,TXDMV OS PERMIT TPE,87.45,Debit,9399.0,AUSTIN,USA,78731,TX,1.384840123
3001,BC PERMIT CENTRE VICTORIA BC,1,2025-09-08,2025-09-06,BC PERMIT CENTRE,40.0,Debit,9399.0,VICTORIA,CAN,V8W9T5,BC,0.0
3001,ROAD RANGER #289 TEAGUE TX,1,2025-09-08,2025-09-07,ROAD RANGER #289,511.73,Debit,5541.0,TEAGUE,USA,75860,TX,1.384306114
3001,DTOPS SINGLE CROSSING INDIANAPOLIS IN,1,2025-09-08,2025-09-05,DTOPS SINGLE CROSSING,27.81,Debit,9399.0,INDIANAPOLIS,USA,46278,IN,1.384183673
3001,AB TRANSP 403-340-5075 EDMONTON AB,1,2025-09-08,2025-09-04,AB TRANSP 403-340-5075,70.0,Debit,9399.0,EDMONTON,CAN,T5K2C3,AB,0.0
3001,AB TRANSP 403-340-5075 EDMONTON AB,1,2025-09-08,2025-09-05,AB TRANSP 403-340-5075,424.0,Debit,9399.0,EDMONTON,CAN,T5K2C3,AB,0.0
3001,FLYING J 550 MINOT ND,1,2025-09-08,2025-09-05,FLYING J 550,637.65,Debit,5541.0,MINOT,USA,58701,ND,1.3849065
3001,THE HOME DEPOT #7050 SPRUCE GROVE AB,1,2025-09-08,2025-09-04,THE HOME DEPOT #7050,108.11,Debit,5200.0,SPRUCE GROVE,CAN,T7X 3X3,AB,0.0
3001,NDHP-E PERMIT 701-328-2426 ND,1,2025-09-08,2025-09-06,NDHP-E PERMIT,39.64,Debit,9399.0,701-328-2426,USA,58505,ND,1.381071429
3001,CENEX-FUOC OF CARPIO CARPIO ND,1,2025-09-08,2025-09-05,CENEX-FUOC OF CARPIO,812.87,Debit,5541.0,CARPIO,USA,58725,ND,1.38490823
3001,AB TRANSP 403-340-5075 EDMONTON AB,1,2025-09-08,2025-09-05,AB TRANSP 403-340-5075,92.5,Debit,9399.0,EDMONTON,CAN,T5K2C3,AB,0.0
3001,DEPT OF TRANS TRUCKPER LINCOLN NE,1,2025-09-08,2025-09-04,DEPT OF TRANS TRUCKPER,23.78,Debit,9399.0,LINCOLN,USA,685082532,NE,1.385074627
3001,VCN*KANSASMVPERMIT TOPEKA KS,1,2025-09-08,2025-09-05,VCN*KANSASMVPERMIT,62.46,Debit,9399.0,TOPEKA,USA,66611,KS,1.385
3001,COFFEE CUP #8 VIVIAN SD,1,2025-09-08,2025-09-05,COFFEE CUP #8,485.12,Debit,5541.0,VIVIAN,USA,57576,SD,1.384293653
3001,AB TRANSP 403-340-5075 EDMONTON AB,1,2025-09-08,2025-09-04,AB TRANSP 403-340-5075,129.25,Debit,9399.0,EDMONTON,CAN,T5K2C3,AB,0.0
3001,SUNCO COMMUNICATION AN EDMONTON AB,1,2025-09-08,2025-09-06,SUNCO COMMUNICATION AN,4971.0,Debit,5045.0,EDMONTON,CAN,T5S 2X4,AB,0.0
3001,DTOPS SINGLE CROSSING INDIANAPOLIS IN,1,2025-09-08,2025-09-06,DTOPS SINGLE CROSSING,27.81,Debit,9399.0,INDIANAPOLIS,USA,46278,IN,1.384183673
3001,AB TRANSP 403-340-5075 EDMONTON AB,1,2025-09-08,2025-09-05,AB TRANSP 403-340-5075,93.0,Debit,9399.0,EDMONTON,CAN,T5K2C3,AB,0.0
3001,DRIVERRECOR 4166236258 BC,1,2025-09-08,2025-09-05,DRIVERRECOR,25.0,Debit,7375.0,4166236258,CAN,V1M1T4,BC,0.0
3001,EDMONTON KUBOTA EDMONTON AB,1,2025-09-08,2025-09-05,EDMONTON KUBOTA,20.16,Debit,763.0,EDMONTON,CAN,T5V 1S7,AB,0.0
3001,CENEX-FUOC OF CARPIO CARPIO ND,1,2025-09-08,2025-09-05,CENEX-FUOC OF CARPIO,68.34,Debit,5541.0,CARPIO,USA,58725,ND,1.384918986
3001,TOOT'N TOTUM #100 - PERRTYON TX,1,2025-09-08,2025-09-06,TOOT'N TOTUM #100 -,496.07,Debit,5541.0,PERRTYON,USA,79070,TX,1.38431395
3001,OKC SIZE & WEIGHTS PER OKLAHOMA CITY OK,1,2025-09-08,2025-09-05,OKC SIZE & WEIGHTS PER,62.0,Debit,9399.0,OKLAHOMA CITY,USA,73105,OK,1.384844322
3001,GOOSENECK IMPLEMENT KENMARE ND,1,2025-09-08,2025-09-05,GOOSENECK IMPLEMENT,25.58,Debit,5046.0,KENMARE,USA,58746,ND,1.385127636
3001,Adobe San Jose CA,1,2025-09-08,2025-09-06,Adobe,27.29,Debit,5818.0,San Jose,USA,95110,CA,0.0
3001,FLYING J 893 AVOCA IA,1,2025-09-08,2025-09-04,FLYING J 893,1058.98,Debit,5541.0,AVOCA,USA,51521,IA,1.381105794
3001,VCN*IDAHODOT BOISE ID,1,2025-09-09,2025-09-08,VCN*IDAHODOT,131.06,Debit,9399.0,BOISE,USA,83703,ID,1.384815336
3001,VCN*IDAHODOT BOISE ID,1,2025-09-09,2025-09-08,VCN*IDAHODOT,131.06,Debit,9399.0,BOISE,USA,83703,ID,1.384815336
3001,VCN*IDAHODOT BOISE ID,1,2025-09-09,2025-09-08,VCN*IDAHODOT,62.85,Debit,9399.0,BOISE,USA,83703,ID,1.384823848
3001,PILOT 924 BUTTE MT,1,2025-09-09,2025-09-07,PILOT 924,891.2,Debit,5541.0,BUTTE,USA,59701,MT,1.38429206
3001,CCD ORION FEE SALEM OR,1,2025-09-09,2025-09-08,CCD ORION FEE,12.38,Debit,9399.0,SALEM,USA,973015397,OR,1.385321101
3001,COSTCO WHOLESALE W1270 EDMONTON INTE AB,1,2025-09-09,2025-09-08,COSTCO WHOLESALE W1270,98.67,Debit,5300.0,EDMONTON INTE,CAN,T9E1K2,AB,0.0
3001,PILOT 195 WASCO OR,1,2025-09-09,2025-09-07,PILOT 195,987.63,Debit,5541.0,WASCO,USA,97065,OR,1.384297105
3001,BB OF FLAG CITY #94 LODI CA,1,2025-09-09,2025-09-08,BB OF FLAG CITY #94,228.73,Debit,7542.0,LODI,USA,952429345,CA,1.384305211
3001,SOFTMOC 8464 WHITBY ON,1,2025-09-09,2025-09-08,SOFTMOC 8464,176.39,Debit,5661.0,WHITBY,CAN,L1N2C3,ON,0.0
3001,TLF*THE AWESOME BLOSSO EDMONTON AB,1,2025-09-09,2025-09-08,TLF*THE AWESOME BLOSSO,11.55,Debit,5992.0,EDMONTON,CAN,T5M 4G5,AB,0.0
3001,CCD ORION SALEM OR,1,2025-09-09,2025-09-08,CCD ORION,515.71,Debit,9399.0,SALEM,USA,973015397,OR,1.384812287
3001,MI SUPERLOAD WINNIPEG MB,1,2025-09-09,2025-09-08,MI SUPERLOAD,81.0,Debit,8220.0,WINNIPEG,CAN,R3H0C4,MB,0.0
3001,LESCO DISTRIBUTORS EDMONTON AB,1,2025-09-09,2025-09-08,LESCO DISTRIBUTORS,98.41,Debit,5013.0,EDMONTON,CAN,T5V 1J3,AB,0.0
3001,SUPER 8 MOTELS WINNIPEG MB,1,2025-09-10,2025-09-09,SUPER 8 MOTELS,188.75,Debit,3709.0,WINNIPEG,CAN,R2J 3T3,MB,0.0
3001,STURGEON STATION TRAVE BONNERS FERRY ID,1,2025-09-10,2025-09-09,STURGEON STATION TRAVE,596.13,Debit,5541.0,BONNERS FERRY,USA,83805,ID,1.384804038
3001,SGI-MY SGI REGINA SK,1,2025-09-10,2025-09-08,SGI-MY SGI,15.0,Debit,9399.0,REGINA,CAN,S4P0J9,SK,0.0
3001,VCN*IDAHODOT BOISE ID,1,2025-09-10,2025-09-09,VCN*IDAHODOT,247.55,Debit,9399.0,BOISE,USA,83703,ID,1.384805046
3001,AMZN Mktp CA*IH9VH1PN3 866-216-1072 ON,1,2025-09-10,2025-09-10,AMZN Mktp CA*IH9VH1PN3,318.42,Debit,4816.0,866-216-1072,CAN,M5J 2T3,ON,0.0
137,ANNUAL FEE 2025-26,12,2025-09-10,2025-09-01,ANNUAL FEE 2025-26,150.0,Debit,,,,00000,,0.0
3001,SLEEP INN REGINA EAST EMERALD PARK SK,1,2025-09-10,2025-09-09,SLEEP INN REGINA EAST,142.26,Debit,3631.0,EMERALD PARK,CAN,S4L 1B6,SK,0.0
137,AUTH USER FEE 2025-26,12,2025-09-10,2025-09-01,AUTH USER FEE 2025-26,50.0,Debit,,,,00000,,0.0
137,AUTH USER FEE 2025-26,12,2025-09-10,2025-09-01,AUTH USER FEE 2025-26,50.0,Debit,,,,00000,,0.0
137,AUTH USER FEE 2025-26,12,2025-09-10,2025-08-06,AUTH USER FEE 2025-26,50.0,Debit,,,,00000,,0.0
3001,BB OF BAYTOWN #103 BAYTOWN TX,1,2025-09-10,2025-09-09,BB OF BAYTOWN #103,119.37,Debit,7542.0,BAYTOWN,USA,775211332,TX,1.384780024
3001,SKIPTHEDISHES WINNIPEG (BRO MB,1,2025-09-11,2025-09-10,SKIPTHEDISHES,27.13,Debit,5812.0,WINNIPEG (BRO,CAN,R3C 0T8,MB,0.0
3001,BC PERMIT CENTRE VICTORIA BC,1,2025-09-11,2025-09-09,BC PERMIT CENTRE,40.0,Debit,9399.0,VICTORIA,CAN,V8W9T5,BC,0.0
3001,SUPER 8 MOTELS WINNIPEG MB,1,2025-09-11,2025-09-10,SUPER 8 MOTELS,34.54,Debit,3709.0,WINNIPEG,CAN,R2J 3T3,MB,0.0
3001,SKEANS PNEUMATIC AND A EDMONTON AB,1,2025-09-11,2025-09-10,SKEANS PNEUMATIC AND A,311.05,Debit,5085.0,EDMONTON,CAN,T6E5L1,AB,0.0
3001,AMZN Mktp CA*EC6SB48K3 866-216-1072 ON,1,2025-09-11,2025-09-11,AMZN Mktp CA*EC6SB48K3,14.24,Debit,4816.0,866-216-1072,CAN,M5J 2T3,ON,0.0
3001,AMZN Mktp CA*VI8LD0BE3 866-216-1072 ON,1,2025-09-11,2025-09-11,AMZN Mktp CA*VI8LD0BE3,143.72,Debit,4816.0,866-216-1072,CAN,M5J 2T3,ON,0.0
3001,SHELL FLYING J NAPANEE ON,1,2025-09-11,2025-09-10,SHELL FLYING J,25.0,Debit,5541.0,NAPANEE,CAN,K7R3L1,ON,0.0
3001,LOVE'S #0569 INSIDE BAKER CITY OR,1,2025-09-11,2025-09-10,LOVE'S #0569 INSIDE,1402.96,Debit,5541.0,BAKER CITY,USA,97814,OR,1.384103549
3001,DAVES TRUCK & EQUIPMEN SAGLE ID,1,2025-09-11,2025-09-09,DAVES TRUCK & EQUIPMEN,177.43,Debit,7531.0,SAGLE,USA,83860,ID,1.3848
3001,ONE9 513 PRIMM NV,1,2025-09-11,2025-09-09,ONE9 513,993.09,Debit,5541.0,PRIMM,USA,89019,NV,1.3841
3001,WSDOT COMMERCIAL VEHIC TUMWATER WA,1,2025-09-11,2025-09-10,WSDOT COMMERCIAL VEHIC,46.78,Debit,9399.0,TUMWATER,USA,98504,WA,1.384708738
3001,Awesome Blos LOVINGLY Vancouver BC,1,2025-09-11,2025-09-11,Awesome Blos LOVINGLY,138.54,Debit,5992.0,Vancouver,CAN,V7X 1S8,BC,0.0
3001,DTOPS SINGLE CROSSING INDIANAPOLIS IN,1,2025-09-11,2025-09-10,DTOPS SINGLE CROSSING,27.86,Debit,9399.0,INDIANAPOLIS,USA,46278,IN,1.386734694
3001,FLYING J MEDICINE HAT AB,1,2025-09-12,2025-09-11,FLYING J,258.78,Debit,5541.0,MEDICINE HAT,CAN,T1C1W7,AB,0.0
3001,DTOPS SINGLE CROSSING INDIANAPOLIS IN,1,2025-09-12,2025-09-11,DTOPS SINGLE CROSSING,27.91,Debit,9399.0,INDIANAPOLIS,USA,46278,IN,1.389285714
3001,DOT-COMM VEH PERMITTIN ANCHORAGE AK,1,2025-09-12,2025-09-11,DOT-COMM VEH PERMITTIN,56.86,Debit,9399.0,ANCHORAGE,USA,99515,AK,1.38675
3001,AMZN Mktp CA*0G8CA2FH3 866-216-1072 ON,1,2025-09-12,2025-09-12,AMZN Mktp CA*0G8CA2FH3,41.27,Debit,4816.0,866-216-1072,CAN,M5J 2T3,ON,0.0
3001,A30 EXPRESS SALABERRY-DE- QC,1,2025-09-12,2025-09-11,A30 EXPRESS,20.7,Debit,4784.0,SALABERRY-DE-,CAN,J6S0J8,QC,0.0
3001,MOOSOMIN C-STORE MOOSOMIN SK,1,2025-09-12,2025-09-11,MOOSOMIN C-STORE,60.0,Debit,5541.0,MOOSOMIN,CAN,S0G3N0,SK,0.0
3001,FLYING J 1043 IDAHO FALLS ID,1,2025-09-12,2025-09-10,FLYING J 1043,798.81,Debit,5541.0,IDAHO FALLS,USA,83402,ID,1.386708185
3001,AMZN Mktp CA*CI2AU2GR3 866-216-1072 ON,1,2025-09-12,2025-09-11,AMZN Mktp CA*CI2AU2GR3,135.44,Debit,4816.0,866-216-1072,CAN,M5J 2T3,ON,0.0
3001,A30 EXPRESS SALABERRY-DE- QC,1,2025-09-12,2025-09-11,A30 EXPRESS,24.15,Debit,4784.0,SALABERRY-DE-,CAN,J6S0J8,QC,0.0
3001,DOT-COMM VEH PERMITTIN ANCHORAGE AK,1,2025-09-12,2025-09-11,DOT-COMM VEH PERMITTIN,170.89,Debit,9399.0,ANCHORAGE,USA,99515,AK,1.389333333
3001,BEST WEST BEST WESTERN MOOSOMIN SK,1,2025-09-12,2025-09-11,BEST WEST BEST WESTERN,173.28,Debit,3502.0,MOOSOMIN,CAN,S0G 3N0,SK,0.0
3001,DTOPS SINGLE CROSSING INDIANAPOLIS IN,1,2025-09-12,2025-09-11,DTOPS SINGLE CROSSING,27.91,Debit,9399.0,INDIANAPOLIS,USA,46278,IN,1.389285714
3001,DEPT OF TRANS TRUCKPER LINCOLN NE,1,2025-09-15,2025-09-13,DEPT OF TRANS TRUCKPER,23.8,Debit,9399.0,LINCOLN,USA,685082532,NE,1.386268657
3001,DTOPS SINGLE CROSSING INDIANAPOLIS IN,1,2025-09-15,2025-09-12,DTOPS SINGLE CROSSING,27.91,Debit,9399.0,INDIANAPOLIS,USA,46278,IN,1.389285714
3001,FLYING J 694 AUSTINBURG OH,1,2025-09-15,2025-09-13,FLYING J 694,583.18,Debit,5541.0,AUSTINBURG,USA,44010,OH,1.386388557
3001,DTOPS SINGLE CROSSING INDIANAPOLIS IN,1,2025-09-15,2025-09-12,DTOPS SINGLE CROSSING,27.85,Debit,9399.0,INDIANAPOLIS,USA,46278,IN,1.38622449
3001,LOVE'S #0655 INSIDE SCOTT CITY KS,1,2025-09-15,2025-09-13,LOVE'S #0655 INSIDE,606.46,Debit,5541.0,SCOTT CITY,USA,67871,KS,1.386390796
3001,SPARKLE SUPER WASH WEYBURN SK,1,2025-09-15,2025-09-12,SPARKLE SUPER WASH,15.5,Debit,7542.0,WEYBURN,CAN,S4H 1V3,SK,0.0
3001,NDHP-E PERMIT 701-328-2426 ND,1,2025-09-15,2025-09-14,NDHP-E PERMIT,39.87,Debit,9399.0,701-328-2426,USA,58505,ND,1.389285714
3001,BC PERMIT CENTRE VICTORIA BC,1,2025-09-15,2025-09-11,BC PERMIT CENTRE,30.0,Debit,9399.0,VICTORIA,CAN,V8W9T5,BC,0.0
3001,IN *WEATHERLOGICS INC. 204-3813708 MB,1,2025-09-15,2025-09-12,IN *WEATHERLOGICS INC.,210.0,Debit,7392.0,204-3813708,CAN,R5K 0A6,MB,0.0
3001,SURESTAY HOTEL BASSANO BASSANO AB,1,2025-09-15,2025-09-13,SURESTAY HOTEL BASSANO,126.71,Debit,7011.0,BASSANO,CAN,T0J 0B0,AB,0.0
